Sha256,Cohort,PythonTargetRgbSha256,CSharpTargetRgbSha256,Equal,DifferentBytes,DifferentPercent,MaeRgb,MaxChannelDelta
73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8,DEVELOPMENT,D637123011934E47E31B6B0E633E0BCF74482B69A1ED6B29EBAA93D56129FA97,BB1138F43EF6773E0DFE555A7EA1F4865CA30F242F1CF851A483080E9B4B4457,false,66,0.043846,0.000438,1
94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049,DEVELOPMENT,C5CB5969667E39A7F3A062BB75991684E67F0D38A53D2274E1DAD879AC2BE327,0DD0FBB28A397839E00A42DB5D7FE7588C6D842EB2DC08567A198AED6745A51B,false,109666,72.85422,19.825993,145
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,DEVELOPMENT,B6D6E030EDDFC47D83CE524B6070D6C7A4709A96D6D425BFD9A52EAA6CAA11B3,010C80AC26DB5AB53B31967200121D7E23CEFDDE7E163EFA69F670D87EFD2F7E,false,111,0.07374,0.000737,1
83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D,DEVELOPMENT,4ACBC7F845F8FED8C9C82ADDDFA85AB293FFF7D541AB301D6B35ADB670D4C691,3196AACA1C937C9277CF58670CFE1DB2E598779149A7814A84A79238DBE43879,false,55,0.036538,0.000365,1
030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,DEVELOPMENT,93801DC87F3C0228E049E6BD6362CD7E63C6AAC7B499021F6F030452C46530A7,788D6F3703675B096DDC04A13EAFE26A12BE9A37125BD5F0A1F147560B5AD513,false,47,0.031223,0.000312,1
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,DEVELOPMENT,412C7D80109BCDF8E300028049E1AC9575E1155050A1A44EAA2D3156B72B829C,81CAE157BCD19D7D7E4E3E6B3D653BC40178745F3B78AC48717458E9225D64F0,false,44,0.02923,0.000292,1
92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC,DEVELOPMENT,87A0BD01D97286BAE6FB5EE0F4830FB14B7248B05A529E48DE21B0D5048234BB,C4D4A5DFC846FCC19E50F2AB3C96CE5035D5EF07A4BBB7EA095A7D44F173CA1B,false,56,0.037202,0.000372,1
963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786,DEVELOPMENT,42AA2E56234450616EDF7E79A8C803FC3A84BDE194927D1D4998F5528D1A0862,54ADECB1083F04F827CE086EFC6EAC5EA7679627673F345F598F0F58FD1C6A8E,false,63,0.041853,0.000419,1
C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42,DEVELOPMENT,E48871D7A464F2E17D6AC2EB397F737C24F2A032717B25E61EB985C8EB3E3EA5,2D195F8F650E3C61F469C5C7CB08A476ED165186802E6C40B844BB23502E0D1F,false,57,0.037867,0.000379,1
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,DEVELOPMENT,94852D4A7CAE5D4B92019FFBB36A447A174902ACE3ADB4DB64E418A0652DDCDB,3C29FEF9CBCBF0E0B98BC7D7B7ECC010411CACA69E2D30CFC9D26656AE005BEC,false,58,0.038531,0.000385,1
2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551,DEVELOPMENT,AEBB6FFC0D5F6E613AD557CC0B9B7880CC860F20F10E4F2A754635803CA0905D,76D8A74238CA5C7590470D478FE781B3628CB58930A5135135C801232A9E95D9,false,84,0.055804,0.000558,1
