DocumentoRecepcionId,ClasificacionAutomatica,ResultadoRevision,EtiquetaRevision,PhysicalFormat,VisualEligibility,NotApplicableReason,VisualProbabilityDocument,VisualPredictedAt050,VisualPredictedAt0726,GroundTruthVisual,CriticalError,DurationMs
"68","FACTURA","","","PDF","ELIGIBLE","","0.80507040023803711","DOCUMENTO","DOCUMENTO","","False","180"
"69","REVISAR","","","JPEG","ELIGIBLE","","0.060526624321937561","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"70","REVISAR","","","JPEG","ELIGIBLE","","0.090837232768535614","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"71","REVISAR","","","JPEG","ELIGIBLE","","0.46977618336677551","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"72","REVISAR","","","JPEG","ELIGIBLE","","0.001798340817913413","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"73","FACTURA","","","JPEG","ELIGIBLE","","0.802388608455658","DOCUMENTO","DOCUMENTO","","False","85"
"74","FACTURA","","","JPEG","ELIGIBLE","","0.802388608455658","DOCUMENTO","DOCUMENTO","","False","85"
"75","REVISAR","","","JPEG","ELIGIBLE","","0.46977618336677551","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"76","REVISAR","","","JPEG","ELIGIBLE","","0.001798340817913413","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"77","REVISAR","","","JPEG","ELIGIBLE","","0.060526624321937561","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"78","REVISAR","","","JPEG","ELIGIBLE","","0.090837232768535614","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"79","REVISAR","","","JPEG","ELIGIBLE","","0.060526624321937561","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"80","REVISAR","","","JPEG","ELIGIBLE","","0.090837232768535614","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"81","REVISAR","","","JPEG","ELIGIBLE","","0.001798340817913413","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"82","REVISAR","","","JPEG","ELIGIBLE","","0.46977618336677551","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"83","FACTURA","","","JPEG","ELIGIBLE","","0.802388608455658","DOCUMENTO","DOCUMENTO","","False","90"
"10079","REVISAR","FACTURA","","PDF","ELIGIBLE","","0.83608198165893555","DOCUMENTO","DOCUMENTO","","False","134"
"10080","FACTURA","","","PDF","ELIGIBLE","","0.85294407606124878","DOCUMENTO","DOCUMENTO","","False","176"
"10081","REVISAR","","","JPEG","ELIGIBLE","","1.8957849761136458E-06","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10082","REVISAR","","","JPEG","ELIGIBLE","","0.075467467308044434","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10083","REVISAR","","","JPEG","ELIGIBLE","","0.0017810828285291791","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10084","REVISAR","","","JPEG","ELIGIBLE","","0.00032916775671765208","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10085","REVISAR","","","JPEG","ELIGIBLE","","0.0035658043343573809","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10086","REVISAR","","","JPEG","ELIGIBLE","","0.24463006854057312","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10087","REVISAR","","","JPEG","ELIGIBLE","","0.0035380406770855188","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10088","REVISAR","","","JPEG","ELIGIBLE","","0.63947600126266479","DOCUMENTO","NO_DOCUMENTO","","False","4"
"10089","REVISAR","","","JPEG","ELIGIBLE","","0.73238241672515869","DOCUMENTO","DOCUMENTO","","False","4"
"10090","REVISAR","","","JPEG","ELIGIBLE","","0.23663133382797241","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10091","REVISAR","","","JPEG","ELIGIBLE","","0.26737388968467712","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10092","REVISAR","","","JPEG","ELIGIBLE","","1.4804363956955058E-07","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10093","REVISAR","","","JPEG","ELIGIBLE","","0.0612957589328289","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"10094","REVISAR","","","JPEG","ELIGIBLE","","0.022992672398686409","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
