fold,id,group,source_label,family_max,payroll,bank
0,1C046CF254BA1E8E323C11493B60FE53712CC1B84EFF61DE83864A7D0C4355D1,F-FACD83D8B4281A05571A,FACTURA,0.00025704158610109356,0.00025704158610109356,3.031197618649156e-06
0,1DA9864804DCE41CA146730F9EB0523D3ADD3030E9014CAA057097A2EA07C711,F-FACD83D8B4281A05571A,FACTURA,7.092181538424556e-05,7.092181538424556e-05,1.995515677189116e-05
0,1DBAC85FD76DFB51E641F429E17BBA22563A0F38D8362D27B66EB5322644AAE6,F-FACD83D8B4281A05571A,FACTURA,3.964317845900315e-05,3.964317845900315e-05,1.6002861424926615e-06
0,1DE3D57C29CD74BE3B52809E07F5687161ED4F785B56045F8B4F677FDFD93DDA,F-FACD83D8B4281A05571A,FACTURA,7.356010911360255e-05,7.356010911360255e-05,4.038635918418834e-06
0,1E017419E073DE02B948D0FF0A3422759D77C393D6A5BC26E76BD8404C0104B5,F-FACD83D8B4281A05571A,FACTURA,9.999913212497065e-05,9.999913212497065e-05,6.868155626354899e-06
0,1F174E86620ADDAB1691ADA0E9A283270D292E6AED4C4B923DDAFE19769D07EB,F-FACD83D8B4281A05571A,FACTURA,5.5481135341317505e-05,5.5481135341317505e-05,4.534546740554341e-05
0,1F8ED7AFA5B9414E174104C2C5ADF13AF964A27329A26B561987EB073FC3BC7C,F-FACD83D8B4281A05571A,FACTURA,5.099591873559296e-05,5.099591873559296e-05,2.3881882902179386e-05
0,201C2EF248B3E04F47F214E95A8360183B42A01E5B635FEAA9E07529A8C328CD,F-FACD83D8B4281A05571A,OTRO_DOCUMENTO,5.6821902179270415e-05,5.6821902179270415e-05,4.9843189635496275e-05
0,22E69D2F00D6232ED552D42A07BCBA93D825967D3875DEEF8648F80EBE48E36E,F-FACD83D8B4281A05571A,FACTURA,0.00014442813542937767,0.00014442813542937767,1.3442053486240598e-05
0,263D415F6C5CCB5E35FCFF9F2EF41B20D3D9D37D6BB52D156229BC10E818CD63,F-FACD83D8B4281A05571A,FACTURA,6.643552759277281e-05,6.643552759277281e-05,3.6252164395678992e-06
0,268E9CF0A794A2450E7EFF249D3AD2594B21A19EC5462DA31C99A736388B63C2,F-FACD83D8B4281A05571A,FACTURA,8.324467569949004e-05,8.324467569949004e-05,1.1407238898991455e-05
0,27BC4B18F491209F599B195B0ABC49F006BFC50896F0790871B4164089202C88,F-FACD83D8B4281A05571A,FACTURA,7.042964576583009e-05,7.042964576583009e-05,4.279265029467072e-06
0,2AD909C6F5BC9106E0C189FB9B3FBD110F046A61DAD56FF8DB8A50C7655E2F78,F-FACD83D8B4281A05571A,FACTURA,5.5481135341317505e-05,5.5481135341317505e-05,4.534546740554341e-05
0,2B7B4A103183D9CE12C1E4633A50995F03B0E8565D49ED8EFAB97C764BC69FD2,F-FACD83D8B4281A05571A,FACTURA,5.41587077063381e-05,5.41587077063381e-05,1.6282869804017197e-05
0,333380C9957CC6E9E6EFC42F22BF224DEA5755070076AA639597896B6E673B17,F-FACD83D8B4281A05571A,FACTURA,7.811239467847165e-05,7.811239467847165e-05,2.344780708467922e-05
0,33D3388971240E38AD8A89602AF4B8B11EBBC2272E6FDAAE1E437F7FE7260AAE,F-FACD83D8B4281A05571A,FACTURA,2.1863002375046998e-05,2.1863002375046998e-05,1.2627414448181796e-05
0,352F66BC7CF9951C2F9DE69F925334DF9B874980F691D7F45A7C24936BFE7846,F-FACD83D8B4281A05571A,FACTURA,2.5861059777764707e-05,2.5861059777764707e-05,7.006598682670747e-06
0,365F308C8134893FC72DF386F207A96FDD371F37EC3055A5CF23B5198C24A70B,F-FACD83D8B4281A05571A,FACTURA,9.6415938096771e-05,9.6415938096771e-05,8.367910794846033e-06
