Sha256,Cohort,PythonPFactura,CSharpPFactura,AbsDelta,PredEqual,ZoneEqual
73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8,DEVELOPMENT,0.849540949,0.849540949,0,true,true
94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049,DEVELOPMENT,0.548452914,0.548452914,0,true,true
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,DEVELOPMENT,0.797187209,0.797187209,0,true,true
83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D,DEVELOPMENT,0.71617043,0.71617043,0,true,true
030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,DEVELOPMENT,0.717462122,0.717462122,0,true,true
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,DEVELOPMENT,0.819043577,0.819043577,0,true,true
92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC,DEVELOPMENT,0.715175688,0.715175688,0,true,true
963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786,DEVELOPMENT,0.770397484,0.770397484,0,true,true
C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42,DEVELOPMENT,0.680456758,0.680456758,0,true,true
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,DEVELOPMENT,0.803279161,0.803279161,0,true,true
2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551,DEVELOPMENT,0.822306752,0.822306752,0,true,true
B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88,DEVELOPMENT,0.834696472,0.834696472,0,true,true
D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F,DEVELOPMENT,0.834356546,0.834356546,0,true,true
B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F,DEVELOPMENT,0.94894743,0.94894743,0,true,true
C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02,DEVELOPMENT,0.82448709,0.82448709,0,true,true
D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0,DEVELOPMENT,0.868432403,0.868432403,0,true,true
A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87,DEVELOPMENT,0.743107378,0.743107378,0,true,true
681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868,DEVELOPMENT,0.810894489,0.810894489,0,true,true
B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124,DEVELOPMENT,0.926842451,0.926842451,0,true,true
5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1,DEVELOPMENT,0.864638448,0.864638448,0,true,true
8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00,DEVELOPMENT,0.167526811,0.167526811,0,true,true
0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253,DEVELOPMENT,0.092954189,0.092954189,0,true,true
4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515,DEVELOPMENT,0.01318666,0.01318666,0,true,true
CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A,DEVELOPMENT,0.096030332,0.096030332,0,true,true
2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6,DEVELOPMENT,0.022493348,0.022493348,0,true,true
72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85,DEVELOPMENT,0.043469813,0.043469813,0,true,true
A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710,DEVELOPMENT,0.082483858,0.082483858,0,true,true
09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA,DEVELOPMENT,0.054298099,0.054298099,0,true,true
31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A,DEVELOPMENT,0.216839865,0.216839865,0,true,true
3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418,DEVELOPMENT,0.040146403,0.040146403,0,true,true
C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279,DEVELOPMENT,0.079322644,0.079322644,0,true,true
645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991,DEVELOPMENT,0.204376608,0.204376608,0,true,true
9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7,DEVELOPMENT,0.265434116,0.265434116,0,true,true
BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5,DEVELOPMENT,0.138628691,0.138628691,0,true,true
94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7,DEVELOPMENT,0.02846875,0.02846875,0,true,true
0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E,DEVELOPMENT,0.112485088,0.112485088,0,true,true
4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C,DEVELOPMENT,0.041156232,0.041156232,0,true,true
74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD,DEVELOPMENT,0.118307136,0.118307136,0,true,true
EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973,DEVELOPMENT,0.175039858,0.175039858,0,true,true
966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D,DEVELOPMENT,0.124140859,0.124140859,0,true,true
D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392,DEVELOPMENT,0.048395436,0.048395436,0,true,true
F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4,DEVELOPMENT,0.103346586,0.103346586,0,true,true
131E45D3DC803E82CB78E212E95C4E289E840BF38F309CC9E631F8D3F0668D7B,DEVELOPMENT,0.13260676,0.13260676,0,true,true
398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE,DEVELOPMENT,0.135819837,0.135819837,0,true,true
5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7,DEVELOPMENT,0.291621566,0.291621566,0,true,true
DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3,DEVELOPMENT,0.023129633,0.023129633,0,true,true
2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA,DEVELOPMENT,0.253341436,0.253341436,0,true,true
999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4,DEVELOPMENT,0.437708229,0.437708229,0,true,true
7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75,DEVELOPMENT,0.326331973,0.326331973,0,true,true
AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D,DEVELOPMENT,0.499644846,0.499644846,0,true,true
DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97,DEVELOPMENT,0.230402052,0.230402052,0,true,true
3E354C1E6A7CB85C4D523AC1B7741EC6E1D498440C0B1FFF531DD3B50320AB78,DEVELOPMENT,0.036936723,0.036936723,0,true,true
50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97,DEVELOPMENT,0.331910908,0.331910908,0,true,true
02523B356AEC13D925C44F336DDAABE81215EE01EE8BCBDEBFC6714A37D55A28,DEVELOPMENT,0.238042369,0.238042369,0,true,true
AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A,DEVELOPMENT,0.307205409,0.307205409,0,true,true
70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA,DEVELOPMENT,0.28898564,0.28898564,0,true,true
28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5,DEVELOPMENT,0.127388254,0.127388254,0,true,true
CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8,DEVELOPMENT,0.178494081,0.178494081,0,true,true
40D282AFE8457677E743468F7D7EDAAA8FEEDB38D7458D01304953DA8E2E5BE4,DEVELOPMENT,0.455586731,0.455586731,0,true,true
675F30D09450E3C2A33AD99C4DC69C108D812EF861FD47858519F8A9913464E3,DEVELOPMENT,0.531880975,0.531880975,0,true,true
9B103DB594C0BEE038C97560216C9623601B0050584D5946910513AC662DCE6F,DEVELOPMENT,0.190283477,0.190283477,0,true,true
6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3,DEVELOPMENT,0.747857213,0.747857213,0,true,true
1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601,DEVELOPMENT,0.657376885,0.657376885,0,true,true
382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49,DEVELOPMENT,0.925914049,0.925914049,0,true,true
4C4A524F6C4F42DB654184D20C435FAAFCACA3F08AE9CF313F55ED571DDEAFE3,DEVELOPMENT,0.480885267,0.480885267,0,true,true
D86F134415A04E0606A287E30878EC7914E9DF74B3B4C92B1EF28FD94B366E94,DEVELOPMENT,0.533756256,0.533756256,0,true,true
4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587,DEVELOPMENT,0.895097375,0.895097375,0,true,true
720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51,DEVELOPMENT,0.882222474,0.882222474,0,true,true
83C37B5C6E92C9515F9456960E62208CEF94E5985871436E4E5464233C0EA6A0,DEVELOPMENT,0.167416096,0.167416096,0,true,true
35784F288939B0D8F196CB8646314FE710549A870D08E33C8E974D21EABBA0D1,DEVELOPMENT,0.118972972,0.118972972,0,true,true
7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF,HOLDOUT,0.836894751,0.836894751,0,true,true
122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC,HOLDOUT,0.70930171,0.70930171,0,true,true
8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC,HOLDOUT,0.755669177,0.755669177,0,true,true
FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5,HOLDOUT,0.800335169,0.800335169,0,true,true
0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4,HOLDOUT,0.452850252,0.452850252,0,true,true
15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0,HOLDOUT,0.080127396,0.080127396,0,true,true
B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F,HOLDOUT,0.042681072,0.042681072,0,true,true
D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B,HOLDOUT,0.164019093,0.164019093,0,true,true
2D246A2651752808442383D814C806437999B4C22FD2E77D18BEDAF2AC6786AB,HOLDOUT,0.31608361,0.31608361,0,true,true
31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5,HOLDOUT,0.326596886,0.326596886,0,true,true
