Id,Name,Classification,Disposition,Status,PFactura,Zone,ErrorCode
"10083","26.jpeg","REVISAR","EXISTING","OK","0.171077489852905","INCIERTO_VISUAL",""
"10084","27.jpeg","REVISAR","EXISTING","OK","0.231106370687485","INCIERTO_VISUAL",""
"10085","1.jpeg","REVISAR","EXISTING","OK","0.197324246168137","INCIERTO_VISUAL",""
"10086","28.jpeg","REVISAR","EXISTING","OK","0.184442475438118","INCIERTO_VISUAL",""
"10087","2.jpeg","REVISAR","EXISTING","OK","0.137469470500946","INCIERTO_VISUAL",""
"10088","11.jpeg","REVISAR","EXISTING","OK","0.226013153791428","INCIERTO_VISUAL",""
"10089","29.jpeg","REVISAR","EXISTING","OK","0.313651114702225","INCIERTO_VISUAL",""
"10090","3.jpeg","REVISAR","EXISTING","OK","0.175234496593475","INCIERTO_VISUAL",""
"10091","12.jpeg","REVISAR","EXISTING","OK","0.0322790965437889","NO_FACTURA_FUERTE",""
"10092","30.jpeg","REVISAR","EXISTING","OK","0.179184094071388","INCIERTO_VISUAL",""
"10093","13.jpeg","REVISAR","EXISTING","OK","0.207813903689384","INCIERTO_VISUAL",""
"10094","4.jpeg","REVISAR","EXISTING","OK","0.0556674227118492","NO_FACTURA_FUERTE",""
"10095","14.jpeg","REVISAR","EXISTING","OK","0.139653906226158","INCIERTO_VISUAL",""
"10096","5.jpeg","REVISAR","EXISTING","OK","0.112066827714443","NO_FACTURA_FUERTE",""
"10097","35.png","REVISAR","EXISTING","OK","0.0801273956894875","NO_FACTURA_FUERTE",""
"10098","15.jpeg","REVISAR","EXISTING","OK","0.0647440701723099","NO_FACTURA_FUERTE",""
"10099","6.jpeg","REVISAR","EXISTING","OK","0.153274595737457","INCIERTO_VISUAL",""
"10100","36.png","REVISAR","EXISTING","OK","0.0806968659162521","NO_FACTURA_FUERTE",""
"10101","16.jpeg","REVISAR","EXISTING","OK","0.139020875096321","INCIERTO_VISUAL",""
"10102","7.jpeg","REVISAR","EXISTING","OK","0.184775993227959","INCIERTO_VISUAL",""
"10103","37.png","REVISAR","EXISTING","OK","0.0426810719072819","NO_FACTURA_FUERTE",""
"10104","17.jpeg","REVISAR","EXISTING","OK","0.128157302737236","INCIERTO_VISUAL",""
"10105","8.jpeg","REVISAR","EXISTING","OK","0.0958176925778389","NO_FACTURA_FUERTE",""
"10106","38.png","REVISAR","EXISTING","OK","0.0453142784535885","NO_FACTURA_FUERTE",""
"10107","18.jpeg","REVISAR","EXISTING","OK","0.224680960178375","INCIERTO_VISUAL",""
"10108","9.jpeg","REVISAR","EXISTING","OK","0.19169507920742","INCIERTO_VISUAL",""
"10109","41.png","REVISAR","EXISTING","OK","0.452850252389908","INCIERTO_VISUAL",""
"10110","19.jpeg","REVISAR","EXISTING","OK","0.147836208343506","INCIERTO_VISUAL",""
"10111","10.jpeg","REVISAR","EXISTING","OK","0.227517530322075","INCIERTO_VISUAL",""
"10112","40.png","REVISAR","EXISTING","OK","0.111515641212463","NO_FACTURA_FUERTE",""
"10113","21.jpeg","REVISAR","EXISTING","OK","0.217617020010948","INCIERTO_VISUAL",""
"10114","20.jpeg","REVISAR","EXISTING","OK","0.0790491327643394","NO_FACTURA_FUERTE",""
"10115","22.jpeg","REVISAR","EXISTING","OK","0.217263415455818","INCIERTO_VISUAL",""
"10116","23.jpeg","DESCARTAR","SKIPPED_FILE_MISSING","","","","FILE_MISSING"
"10117","e8066b5fa877_Z001023243349.pdf","FACTURA","EXISTING","OK","0.803279161453247","FACTURA_FUERTE",""
"10118","b4c8fa3786e8_Z001023243075.pdf","REVISAR","EXISTING","OK","0.834696471691132","FACTURA_FUERTE",""
"10175","082026.pdf","REVISAR","EXISTING","OK","0.493105053901672","INCIERTO_VISUAL",""
"10176","NOTIFICACION AGOSTO.pdf","REVISAR","EXISTING","OK","0.428006052970886","INCIERTO_VISUAL",""
