FamilyId,Fold,Documents,Factura,OtroDocumento,HeaderErrors,TextErrors,FacturaToOtroDocumento,OtroDocumentoToFactura,HeaderErrorSha256
F-108FF89DFB4EC29C3343,0,4,2,2,2,2,0,2,5CD323BE0FA8C7BF7DF56E09EB62B1338AD699ED21F25A09DBA6E646DA452906|DA74B2F8E4ABFBB5F64F133F2380B3F588F02C6FB2D1D7FADE497E2DC0D53000
F-17D8887E1AFD322C7FBE,3,4,2,2,2,2,0,2,44336BFC12CA0A5E9F5243129B67CF8CF861EA319E51DBDB1B4CAF0E6F7DACE1|DA90A93BE580F95FE5F57983444C78F6B0479F8D349B6390E07DCC05D543D713
F-19E3E2219E79C363F63F,0,5,3,2,2,2,0,2,522D785B8861AC8B6E0B665918509ABFC61F4A5A7AD344D29581F3820D969F29|F6FE5E4E7DBEFC3BD76AA8082F39320D6E47DF09DFED6C259F5830908418EB7F
F-32D29C25B87BCDD5D9A3,3,2,2,0,2,0,2,0,41DA1916DEF0865B974AF8DA1FC410BF132CF8F2D39C53D21634C67E095437F6|75920680546C0B19824E520C35362E4321A64E41D50F38FDCA51BFD9B991E533
F-A26E6E68BD787A625DC9,3,2,2,0,2,0,2,0,52A88A4DC787DDDBB8F9B392369383B8754539E3CC700CA09CAB17DC9897D3D7|C975B3D927FB1E30EEDB65478115A3885467118916194B500FD55F0D0875019E
F-FC411F149001282E7254,2,2,2,0,2,0,2,0,679B276143705D4AC3247557E5B766A0D3B8EF46EF0C7E93E9743E56F4C7C21B|77BEE0C8120D6B5C3D19B79CC4ABFFE13BCD86AB4AD7BDCFE810BF0F53FA5689
F-127BD2FBDD2CC031C0FE,2,18,18,0,1,0,1,0,3B53A04C13E5943D49C91233DD964AC2F017008C05D24D029268E5512BE9386E
F-1B5BFBE3C31B9AB023C7,1,1,1,0,1,0,1,0,7C7BEBD02F866B63C5475F1B0D0CA9C678F5D261548ED2C7B2B9D475D6383CC9
F-22D8B0B2BC197D116017,3,3,2,1,1,1,0,1,10D1AFC979D966B39B92E799719AD44B93945894927B122A3BCE79C3126B9413
F-33B81ED9CE192B1C2F2E,2,1,1,0,1,0,1,0,FCB7B5A2F524A16B19B60871079D42D4CF9A5A1C18278052A29B1366095DF71F
