FamilyId,Count,Errors,Factura,OtroDocumento,ErrorRate
F-87572B663CBBD9F4CA2F,1,0,1,0,0.0
F-8E51FF106E6F3ECF3F13,1,0,1,0,0.0
F-9525E35FAA9C79DDFE79,1,0,1,0,0.0
F-9556189C2A6C11049E74,1,0,1,0,0.0
F-976EEED6E8682B3EC86C,1,0,1,0,0.0
F-9A735258044E0AA042F4,1,0,1,0,0.0
F-9CDD0F79654F6C629C58,1,0,1,0,0.0
F-A1CDEA5EA1B02B4F87C8,1,0,1,0,0.0
F-A4599E2724A776EE31BB,1,0,1,0,0.0
F-A6E816EB9E43FECB1ACB,1,0,1,0,0.0
F-A75A0A5D32BC3BDDC3FF,1,0,1,0,0.0
F-A89FDE7F361720CE396D,1,0,1,0,0.0
F-A92847205E3BBB99A982,1,0,1,0,0.0
F-A9B670855B09AE1DC9A7,1,0,1,0,0.0
F-AB9C3DF0812F557CBA1C,1,0,1,0,0.0
F-B0CE428E3A93F67A9A41,1,0,1,0,0.0
F-B48A5E97973412D090E1,1,0,1,0,0.0
F-B5269576C44B14F588D5,1,0,1,0,0.0
F-B7F49B6DC4F0173C4F2C,1,0,1,0,0.0
F-BB3946FCA5C1D8EE3510,1,0,1,0,0.0
F-BBFA348893E65DB88B69,1,0,1,0,0.0
F-BE2A732EDC4F7479054E,1,0,0,1,0.0
F-BF67793A8E4CE989ED42,1,0,1,0,0.0
F-C0D5A81F1B3DB1BB1203,1,0,1,0,0.0
F-C4297C930D025E93CCD8,1,0,1,0,0.0
F-CEDA51D85B3AA52E945D,1,0,1,0,0.0
F-D1F6DC156677842D2070,1,0,1,0,0.0
F-D86CE4CD0C9D0468E43A,1,0,1,0,0.0
F-D8C324C174874BEB5368,1,0,1,0,0.0
F-D8FCDE61FE47CC36A198,1,0,1,0,0.0
F-D9558DFA49CDFA0EC574,1,0,1,0,0.0
F-DA3D3ACC13A5AA5E9C71,1,0,1,0,0.0
F-DB7766FFE78E622516F9,1,0,1,0,0.0
F-DDD398632A8E3710DDB0,1,0,1,0,0.0
F-E1B8D918E114096E5077,1,0,1,0,0.0
F-E2627E96B98E9A6575D4,1,0,1,0,0.0
F-E68CDBA32F276D126C50,1,0,1,0,0.0
F-E70110F2096258660969,1,0,1,0,0.0
F-EE6C10CFFB7B6C49E434,1,0,0,1,0.0
F-EF073838ABE6523C2174,1,0,1,0,0.0
F-EFBDDAECA8EF315C1DDB,1,0,1,0,0.0
F-F06BCF4B9729282FE5A1,1,0,1,0,0.0
F-F2B443493003CF983276,1,0,1,0,0.0
F-F47775882EC65DC9A64C,1,0,1,0,0.0
F-F87B430E01864ABA8385,1,0,1,0,0.0
F-FC4D9BFCF265DB5A7DB7,1,0,1,0,0.0
F-FF1E9D9D737E473FAE94,1,0,1,0,0.0
