Scope,Variant,Count,Families,Factura,OtroDocumento,ThresholdDiagnosticOnly,RecallFactura,RecallOtroDocumento,PrecisionFactura,PrecisionOtroDocumento,MacroF1,BalancedAccuracy,RocAuc,PrAucFactura,PrAucOtroDocumento,FacturaToOtroDocumento,OtroDocumentoToFactura
AllStrongLabels,TEXT_ONLY,901,154,828,73,0.5,0.9963768115942029,0.3150684931506849,0.9428571428571428,0.8846153846153846,0.7167624572204725,0.6557226523724439,0.8372046853285686,0.967342073220272,0.6243518256426661,3,50
AllStrongLabels,WORD,901,154,828,73,0.5,0.9963768115942029,0.1780821917808219,0.9322033898305084,0.8125,0.6276786241366418,0.5872295016875124,0.9052676857918073,0.9838901060768731,0.7120275113450957,3,60
AllStrongLabels,CHAR,901,154,828,73,0.5,0.9939613526570048,0.1232876712328767,0.9278466741826381,0.6428571428571429,0.5833316577862673,0.5586245119449408,0.7793825689894779,0.961868330098819,0.3867258815206696,5,64
AllStrongLabels,WORD_CHAR,901,154,828,73,0.5,0.9963768115942029,0.1095890410958904,0.9269662921348315,0.7272727272727273,0.5754476412217973,0.5529829263450466,0.8939679703527231,0.9775003460911673,0.6882846489430935,3,65
IndependentEvidence,TEXT_ONLY,734,88,672,62,0.5,0.9985119047619048,0.3709677419354839,0.9450704225352112,0.9583333333333334,0.7529700804361728,0.6847398233486943,0.8231806835637481,0.9630486738555719,0.6601307698957997,1,39
IndependentEvidence,WORD,734,88,672,62,0.5,0.9985119047619048,0.20967741935483872,0.9319444444444445,0.9285714285714286,0.6530928614640048,0.6040946620583717,0.9098742319508448,0.9835350695597578,0.8131593781008597,1,49
IndependentEvidence,CHAR,734,88,672,62,0.5,0.9955357142857143,0.14516129032258066,0.9265927977839336,0.75,0.6015355384078483,0.5703485023041475,0.7863623271889401,0.9580664194556336,0.4661622007169255,3,53
IndependentEvidence,WORD_CHAR,734,88,672,62,0.5,0.9985119047619048,0.12903225806451613,0.9255172413793104,0.8888888888888888,0.5929910169679494,0.5637720814132104,0.8939132104454686,0.9752522042963299,0.7828831539354929,1,54
