Variant,Threshold,CountAll,BalancedAccuracyAll,MacroF1All,RocAucAll,RecallFacturaAll,RecallOtroDocumentoAll,PrecisionFacturaAll,PrecisionOtroDocumentoAll,CountIndependentEvidence,BalancedAccuracyIndependent,MacroF1Independent,RocAucIndependent,RecallFacturaIndependent,RecallOtroDocumentoIndependent,PrecisionFacturaIndependent,PrecisionOtroDocumentoIndependent
WORD,0.5,901,0.6557226523724439,0.7167624572204725,0.8372046853285686,0.9963768115942029,0.3150684931506849,0.9428571428571428,0.8846153846153846,734,0.6847398233486943,0.7529700804361728,0.8231806835637481,0.9985119047619048,0.3709677419354839,0.9450704225352112,0.9583333333333334
CHAR,0.5,901,0.6353815101581629,0.674963924963925,0.629591026404606,0.9830917874396136,0.2876712328767123,0.9399538106235565,0.6,734,0.6656346006144394,0.7219696969696969,0.6023185483870968,0.9925595238095238,0.3387096774193548,0.942090395480226,0.8076923076923077
WORD_CHAR,0.5,901,0.6482694725696512,0.7060742480589809,0.7958275428495798,0.9951690821256038,0.3013698630136986,0.9417142857142857,0.8461538461538461,734,0.6759312596006144,0.7406185844579813,0.7745055683563749,0.9970238095238095,0.3548387096774194,0.9436619718309859,0.9166666666666666
