Scope,Variant,Count,Families,Factura,OtroDocumento,ThresholdDiagnosticOnly,RecallFactura,RecallOtroDocumento,PrecisionFactura,PrecisionOtroDocumento,MacroF1,BalancedAccuracy,RocAuc,PrAucFactura,PrAucOtroDocumento,FacturaToOtroDocumento,OtroDocumentoToFactura
AllStrongLabels,TEXT_ONLY_WORD,901,154,828,73,0.5,0.9963768115942029,0.3150684931506849,0.9428571428571428,0.8846153846153846,0.7167624572204725,0.6557226523724439,0.8372046853285686,0.967342073220272,0.6243518256426661,3,50
AllStrongLabels,HEADER_ONLY,901,154,828,73,0.5,0.8429951690821256,0.1780821917808219,0.920844327176781,0.09090909090909091,0.5002860679090188,0.5105386804314738,0.5391602144133413,0.9275350564266959,0.09245540260316054,130,60
IndependentEvidence,TEXT_ONLY_WORD,734,88,672,62,0.5,0.9985119047619048,0.3709677419354839,0.9450704225352112,0.9583333333333334,0.7529700804361728,0.6847398233486943,0.8231806835637481,0.9630486738555719,0.6601307698957997,1,39
IndependentEvidence,HEADER_ONLY,734,88,672,62,0.5,0.8452380952380952,0.20967741935483872,0.9205834683954619,0.1111111111111111,0.513277366283681,0.5274577572964669,0.584389400921659,0.9370574839275692,0.15926331773010846,104,49
