Sha256,Cohort,RawFormat,PixelFormat,BitsPerPixel,IsAlphaPixelFormat,IsExtendedPixelFormat,IsCanonicalPixelFormat,Width,Height
3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1165,481
C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,971,443
645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1242,130
9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1242,1622
BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,3000,4000
94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,385,126
0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,156,30
4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,354,334
74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,4000,2248
EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,4000,2248
966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1236,616
D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1236,616
F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1236,616
131E45D3DC803E82CB78E212E95C4E289E840BF38F309CC9E631F8D3F0668D7B,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,500,360
398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,2000,1300
5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,650,8489
DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,600,255
2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2479,3508
999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4,DEVELOPMENT,PNG,Format32bppArgb,32,true,false,true,2480,3507
7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,1576,2100
AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,813,639
DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,4284,5712
3E354C1E6A7CB85C4D523AC1B7741EC6E1D498440C0B1FFF531DD3B50320AB78,DEVELOPMENT,PNG,Format24bppRgb,24,false,false,false,720,1600
