ShaA,ShaB,Reason
2605B5CBE1D16F569A4744664A6098F9F1A9ADF3328747D2D99F36E44E6407EE,106447D8042022E7A7E537E2F456DA614B64B7F191C70E08B6E6C5335ED5C164,HEADER_CUIT:30546969874
26EA4A2318A2CA163F0725B8551C9F4CFE6E45EA6578CACC90BC64C6575AF63B,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
2754D3559341F815081980BDD192EED779630BB6B233314D17B4863113891EF0,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
27FF656A5A70E8C1A2AF544748A8FEEB1F9D764E38EE1B20DEFCF5A88675DBB2,021D03676E4829AEEEA847D3BCB185AA2D16C5CBCA32B330075F575854B360A1,HEADER_CUIT:30682335706
28E051A5FFC30CD108C62532DB3BB625AE2F92006A000BC861F3BB2C56D67E99,1F9DD0B2BF3B5C5D6D46D3091174ECB7FD8813A730E6E775358AF0ABAC13456B,HEADER_CUIT:30711958033
28F92D6F8C69A983FC3129BC8443C5E475F94DFB173AF74A3BF5F08D957F5B0D,2177FA907AE027A8214549A497D8B20FAC11F03378434E82243735B41CDCCF90,HEADER_CUIT:30707503307
2A31131A45E5376D4DFD42FF9877AC6093EBD62ABF0B6791591EDD8AB1658A7D,106447D8042022E7A7E537E2F456DA614B64B7F191C70E08B6E6C5335ED5C164,HEADER_CUIT:30546969874
2A7AB31F4AD69F64910E3CEEE8C65743B22D669A790ABFCAF491E8BAAAE9C4B7,0C119B261945873CEB350567C4B9047A452E5075ADB4DC72F247453378F3D6C2,HEADER_CUIT:30608298815
2CA14FED2FAD395EFD4983F8070DF27AF17788C817D750BBE547E27F9DB493B7,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
2DF94A5C2384FC7A97229E0EE33C8F5F95234472102492A6EE49DCB9C7277EFF,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
2E23F651392097BF6177E1CBC5D2B43D4B848A229CDD80E9B8413254E95D51D8,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
2E2889EBA992FF88C5260B76B01933BFBA0AA678BD94B8970181748B220ED2C5,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
2F1E945B42EFC9DC4B0237EC0B8D8458B94BC0DE5AC9FBBEF393B78058EFB654,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
3031035EFEF15605525E170DDD8F26344AE93413637DB2E3C70563167DA90FE0,0EA83AC8EB655DEA62FEAFEB9AA0E382503A8BAE3EE20782767D39071CB570D8,HEADER_CUIT:30693821653
35036B91118820402A43C5A7AF8FEDD19F3EE0B4F5CD092F6045A38564329AA7,1630D16F8FDB2A7721ACEF572A7F8E2CB269845113E8B30AB282FF65B3372AA2,HEADER_CUIT:33692134309
354C3F7045F79A2B3CDB2ADFC8EEA10521BBDFA984CFFDF6CE061D5EB8D6FFB4,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
36429CA5B94D3DBDBD0C7003516E55976683623709FAB71AD14FDC8C09F0D0F4,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
372A1456ECBF9BE8FC3E552C09E78AE5217E9A0082972A7743403C6619C5A16C,11AA4176F3F4A2CC86037046B472339888DABD214272917A6929C087593E9D8E,HEADER_CUIT:30708979062
37B68E63F23B331B7585BD74DD85DD8ABF5122A348AA2F7F0EF539B332FFC54F,31DE1A416B6D580B5D1165E5D6C5C466715632F4D72D78BC2E8810AB73DE5B28,HEADER_CUIT:30598910045
39882040989893FF1C7A809346D4085D7C4150C416ED632837EFB63E8EF1280C,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
3AE8EB7E4E38B0F90B57C05F0AC49109AFC0A9471F9277A696892D4BD491E2EF,2561CB08DF5796D2821965653E2B99FDC224AA0A34497D57DB56B176A047078E,HEADER_CUIT:33628189159
3B82523C9A34012625F167EC918A7783E68F2BB4FA49BBDEED22E45066038496,31DE1A416B6D580B5D1165E5D6C5C466715632F4D72D78BC2E8810AB73DE5B28,HEADER_CUIT:30598910045
